City,State,Technology,Vendor
South Euclid,OH,Body-worn Cameras,Wolfcom
Temple,GA,Body-worn Cameras,Wolfcom
Redding,CA,Body-worn Cameras,Wolfcom
Mount Pleasant,TX,Body-worn Cameras,Wolfcom
Monticello,AR,Body-worn Cameras,Wolfcom
Fayetteville,AR,Body-worn Cameras,Wolfcom
Huntsville,TX,Body-worn Cameras,Wolfcom
Ward,AR,Body-worn Cameras,Wolfcom
Warrior,AL,Body-worn Cameras,Wolfcom
Waterloo,IA,Body-worn Cameras,Wolfcom
Jackson,MS,Body-worn Cameras,Wolfcom
Marquette,MI,Body-worn Cameras,Wolfcom
Palos Hills,IL,Body-worn Cameras,Wolfcom
Chino,CA,Face Recognition,AFR Engine
White Plains,NY,Body-worn Cameras,Axon
Buckeye,AZ,Body-worn Cameras,Axon
Portage,MI,Predictive Policing,Geolitica
Lexington,KY,Automated License Plate Readers,Flock Safety
Casper,WY,Body-worn Cameras,Getac
Little Rock,AR,Automated License Plate Readers,Flock Safety
Albuquerque,NM,Cell-site Simulator,Harris Corporation
Idaho Falls,ID,Automated License Plate Readers,PIPS
Cheyenne,WY,Automated License Plate Readers,Elsag
Smyrna,GA,Automated License Plate Readers,Flock Safety
Moberly,MO,Body-worn Cameras,Axon
North Charleston,SC,Automated License Plate Readers,NDI Technologies
Camden,NJ,Predictive Policing,ShotSpotter
Camden,NJ,Predictive Policing,CivicScape
New York City,NY,Video Analytics,IBM
Danville,CA,Automated License Plate Readers,Flock Safety
Shelby Charter Township,MI,Body-worn Cameras,Axon
Inkster,MI,Body-worn Cameras,Axon
Portage,MI,Automated License Plate Readers,Flock Safety
Taylor,MI,Body-worn Cameras,Axon
Las Vegas,NV,Automated License Plate Readers,Vigilant Solutions
Boulder City,NV,Automated License Plate Readers,ELSAG
Columbus,OH,Gunshot Detection,ShotSpotter
Houston,TX,Automated License Plate Readers,Flock Safety
Camden,NJ,Real-Time Crime Center,CivicScape
Clinton,TN,Predictive Policing,IBM
Shelbyville,TN,Predictive Policing,IBM
Camden,TN,Predictive Policing,IBM
Pikeville,TN,Predictive Policing,IBM
Maryville,TN,Predictive Policing,IBM
Cleveland,TN,Predictive Policing,IBM
Jacksboro,TN,Predictive Policing,IBM
Woodbury,TN,Predictive Policing,IBM
Huntingdon,TN,Predictive Policing,IBM
Elizabethton,TN,Predictive Policing,IBM
Ashland City,TN,Predictive Policing,IBM
Henderson,TN,Predictive Policing,IBM
Tazewell,TN,Predictive Policing,IBM
Celina,TN,Predictive Policing,IBM
Newport,TN,Predictive Policing,IBM
Manchester,TN,Predictive Policing,IBM
Alamo,TN,Predictive Policing,IBM
Crossville,TN,Predictive Policing,IBM
Nashville,TN,Predictive Policing,IBM
Decaturville,TN,Predictive Policing,IBM
Smithville,TN,Predictive Policing,IBM
Charlotte,TN,Predictive Policing,IBM
Dyersburg,TN,Predictive Policing,IBM
Somerville,TN,Predictive Policing,IBM
Jamestown,TN,Predictive Policing,IBM
Winchester,TN,Predictive Policing,IBM
Trenton,TN,Predictive Policing,IBM
Pulaski,TN,Predictive Policing,IBM
Rutledge,TN,Predictive Policing,IBM
Greeneville,TN,Predictive Policing,IBM
Altamont,TN,Predictive Policing,IBM
Morristown,TN,Predictive Policing,IBM
Chattanooga,TN,Predictive Policing,IBM
Sneedville,TN,Predictive Policing,IBM
Bolivar,TN,Predictive Policing,IBM
Savannah,TN,Predictive Policing,IBM
Rogersville,TN,Predictive Policing,IBM
Brownsville,TN,Predictive Policing,IBM
Lexington,TN,Predictive Policing,IBM
Paris,TN,Predictive Policing,IBM
Centerville,TN,Predictive Policing,IBM
Erin,TN,Predictive Policing,IBM
Waverly,TN,Predictive Policing,IBM
Gainesboro,TN,Predictive Policing,IBM
Dandridge,TN,Predictive Policing,IBM
Mountain City,TN,Predictive Policing,IBM
Knoxville,TN,Predictive Policing,IBM
Tiptonville,TN,Predictive Policing,IBM
Ripley,TN,Predictive Policing,IBM
Lawrenceburg,TN,Predictive Policing,IBM
Hohenwald,TN,Predictive Policing,IBM
Fayetteville,TN,Predictive Policing,IBM
Lenoir City,TN,Predictive Policing,IBM
Lafayette,TN,Predictive Policing,IBM
Jackson,TN,Predictive Policing,IBM
Jasper,TN,Predictive Policing,IBM
North Lewisburg,TN,Predictive Policing,IBM
Columbia,TN,Predictive Policing,IBM
Athens,TN,Predictive Policing,IBM
Selmer,TN,Predictive Policing,IBM
Decatur,TN,Predictive Policing,IBM
Madisonville,TN,Predictive Policing,IBM
Clarksville,TN,Predictive Policing,IBM
Lynchburg,TN,Predictive Policing,IBM
Wartburg,TN,Predictive Policing,IBM
Union City,TN,Predictive Policing,IBM
Livingston,TN,Predictive Policing,IBM
Linden,TN,Predictive Policing,IBM
Byrdstown,TN,Predictive Policing,IBM
Benton,TN,Predictive Policing,IBM
Cookeville,TN,Predictive Policing,IBM
Dayton,TN,Predictive Policing,IBM
Kingston,TN,Predictive Policing,IBM
Springfield,TN,Predictive Policing,IBM
Murfreesboro,TN,Predictive Policing,IBM
Huntsville,TN,Predictive Policing,IBM
Dunlap,TN,Predictive Policing,IBM
Sevierville,TN,Predictive Policing,IBM
Memphis,TN,Predictive Policing,IBM
Carthage,TN,Predictive Policing,IBM
Dover,TN,Predictive Policing,IBM
Blountville,TN,Predictive Policing,IBM
Gallatin,TN,Predictive Policing,IBM
Covington,TN,Predictive Policing,IBM
Hartsville,TN,Predictive Policing,IBM
Erwin,TN,Predictive Policing,IBM
Maynardville,TN,Predictive Policing,IBM
Spencer,TN,Predictive Policing,IBM
McMinnville,TN,Predictive Policing,IBM
Jonesborough,TN,Predictive Policing,IBM
Waynesboro,TN,Predictive Policing,IBM
Dresden,TN,Predictive Policing,IBM
Sparta,TN,Predictive Policing,IBM
Franklin,TN,Predictive Policing,IBM
Lebanon,TN,Predictive Policing,IBM
Nashville,TN,Predictive Policing,IBM
Nashville,TN,Predictive Policing,IBM
Fresno,CA,Gunshot Detection,ShotSpotter
Altamonte Springs,FL,Body-worn Cameras,Axon
Oxford,AL,Predictive Policing,Geolitica
Linden,NJ,Predictive Policing,CivicScape
Miami Beach,FL,Body-worn Cameras,Axon
Novato,CA,Body-worn Cameras,VIEVU
Dallas,TX,Predictive Policing,Compstat
Birmingham,AL,Predictive Policing,Geolitica
Clayton,MO,Predictive Policing,Shotspotter
Seguin,TX,Body-worn Cameras,WatchGuard
Mount Pleasant,TX,Body-worn Cameras,Wolfcom
Reading,PA,Predictive Policing,Geolitica
Boynton Beach,FL,Automated License Plate Readers,Verra Mobility
Gainesville,FL,Automated License Plate Readers,"Vigilant Solutions, NDI Recognition Systems"
Daytona Beach,FL,Body-worn Cameras,Axon
Seaside,CA,Body-worn Cameras,Axon
Morristown,TN,Body-worn Cameras,Axon
Surprise,AZ,Body-worn Cameras,Axon
Easton,MD,Body-worn Cameras,Axon
Austin,TX,Body-worn Cameras,Wolfcom
San Ramon,CA,Video Analytics,Avigilon
Fort Lupton,CO,Body-worn Cameras,Axon
Milton,VT,Body-worn Cameras,Axon
Darien,CT,Body-worn Cameras,Axon
Athens,OH,Body-worn Cameras,Axon
Atlanta,TX,Body-worn Cameras,WatchGuard
Pueblo,CO,Body-worn Cameras,Axon
Merced,CA,Body-worn Cameras,Axon
Livermore,CA,Body-worn Cameras,Axon
Barberton,OH,Body-worn Cameras,Axon
Mount Holly,NC,Body-worn Cameras,Axon
Grand Junction,CO,Body-worn Cameras,Axon
Sacramento,CA,Gunshot Detection,ShotSpotter
Savannah,GA,Predictive Policing,ShotSpotter
Campbell,CA,Predictive Policing,Geolitica
Joliet,IL,Body-worn Cameras,Axon
Nevada City,CA,Body-worn Cameras,Axon
Truckee,CA,Body-worn Cameras,Axon
Harrisburg,IL,Body-worn Cameras,Axon
Roselle,IL,Body-worn Cameras,Axon
Fairfield,IL,Body-worn Cameras,Axon
Riverbank,CA,Video Analytics,IntelliSite
Fremont,CA,Video Analytics,IntelliSite
Detroit,MI,Video Analytics,BriefCam
Lansing,MI,Video Analytics,BriefCam
Venice,FL,Video Analytics,BriefCam
Oxford,AL,Real-Time Crime Center,Fusus
Dallas,TX,Real-Time Crime Center,Motorola Solutions
Tempe,AZ,Drones,DJI
Long Beach,CA,Cell-site Simulator,Jacobs Technology
Ashland,OR,Camera Registry,Motorola Solutions
Los Angeles,CA,Face Recognition,DataWorks Plus
Pittsburgh,PA,Face Recognition,Clearview AI
Las Vegas,NV,Face Recognition,Vigilant Solutions
Goldfield,NV,Body-worn Cameras,LensLock
Lovelock,NV,Body-worn Cameras,WatchGuard
Rock Springs,WY,Body-worn Cameras,Axon
Dillingham,AK,Body-worn Cameras,Wolfcom
Roswell,NM,Body-worn Cameras,Axon
Medina,WA,Automated License Plate Readers,Flock Safety
Mesa,AZ,Body-worn Cameras,Axon
St. Johns,AZ,Body-worn Cameras,Axon
Portland,ME,Body-worn Cameras,Axon
Orono,ME,Body-worn Cameras,WatchGuard
South Portland,ME,Body-worn Cameras,WatchGuard
Houlton,ME,Body-worn Cameras,WatchGuard
Hobbs,NM,Body-worn Cameras,Utility
Redwood City,CA,Gunshot Detection,ShotSpotter
Albuquerque,NM,Gunshot Detection,ShotSpotter
Oakland,CA,Gunshot Detection,ShotSpotter
Springfield,IL,Gunshot Detection,ShotSpotter
Revere,MA,Gunshot Detection,ShotSpotter
Newark,NJ,Gunshot Detection,ShotSpotter
San Juan,PR,Gunshot Detection,ShotSpotter
Trujillo Alto,PR,Gunshot Detection,ShotSpotter
St. Croix,VI,Gunshot Detection,ShotSpotter
St. Thomas,VI,Gunshot Detection,ShotSpotter
Longmont,CO,Body-worn Cameras,Axon
Loveland,CO,Body-worn Cameras,Axon
Kiowa,CO,Body-worn Cameras,Wolfcom
Elizabeth,CO,Body-worn Cameras,Axon
Jupiter,FL,Body-worn Cameras,Axon
Gurnee,IL,Body-worn Cameras,Axon
Seattle,WA,Automated License Plate Readers,Autovu
Mt. Juliet,TN,Automated License Plate Readers,OpenALPR/Rekor
Hoover,AL,Automated License Plate Readers,Vigilant Solutions
Bessemer,AL,Automated License Plate Readers,Vigilant Solutions
Auburn,AL,Automated License Plate Readers,Vigilant Solutions
Birmingham,AL,Automated License Plate Readers,Vigilant Solutions
Ithaca,NY,Body-worn Cameras,Axon
Madison,WI,Body-worn Cameras,L3 Communications
Carthage,MO,Body-worn Cameras,Turn-Key Mobile Inc.
Coral Springs,FL,Automated License Plate Readers,Vigilant Solutions
Oak Brook,IL,Automated License Plate Readers,Vigilant Solutions
Hickory Hills,IL,Automated License Plate Readers,Vigilant Solutions
Elk Grove Village,IL,Automated License Plate Readers,Vigilant Solutions
Redmond,OR,Body-worn Cameras,WatchGuard
Klamath Falls,OR,Body-worn Cameras,Visual Labs
McDonough,GA,Body-worn Cameras,Visual Labs
Huntsville,AL,Automated License Plate Readers,Flock Safety
Riverbank,CA,Automated License Plate Readers,Motorola Solutions
Carlsbad,NM,Body-worn Cameras,Wolfcom
Lincoln,NE,Automated License Plate Readers,ELSAG
Minot,ND,Body-worn Cameras,Axon
Cape Girardeau,MO,Automated License Plate Readers,Flock Safety
Grand Island,NE,Body-worn Cameras,Data 911
South Charleston,WV,Automated License Plate Readers,Elsag
Bluefield,WV,Body-worn Cameras,Axon
Fort Worth,TX,Automated License Plate Readers,"Vigilant Solutions, Axon"
Fort Worth,TX,Body-worn Cameras,Axon
West Wendover,NV,Body-worn Cameras,Axon
Yerington,NV,Body-worn Cameras,Motorola Solutions
Yerington,NV,Body-worn Cameras,Motorola Solutions
Eureka,NV,Body-worn Cameras,Axon
Ely,NV,Body-worn Cameras,Axon
Battle Mountain,NV,Body-worn Cameras,Axon
Fallon,NV,Body-worn Cameras,WatchGuard
Pioche,NV,Body-worn Cameras,Axon
Hammond,IN,Automated License Plate Readers,Vigilant Solutions
Munster,IN,Automated License Plate Readers,Vigilant Solutions
Noblesville,IN,Automated License Plate Readers,Vigilant Solutions
Greenfield,IN,Automated License Plate Readers,Flock Safety
South Bend,IN,Automated License Plate Readers,Flock Safety
Valley,NE,Body-worn Cameras,Wolfcom
Kearney,NE,Body-worn Cameras,WatchGuard
Alamogordo,NM,Body-worn Cameras,Axon
Carlsbad,NM,Body-worn Cameras,WatchGuard
Jackson,MS,Real-Time Crime Center,Fusus
Memphis,TN,Automated License Plate Readers,Flock Safety
Minneapolis,MN,Real-Time Crime Center,Fusus
Anaheim,CA,Face Recognition,Veritone
Johnsonville,SC,Automated License Plate Readers,NDI Technologies
Tonopah,NV,Automated License Plate Readers,PIPS Technology
Falls Church,VA,Automated License Plate Readers,Thomson Reuters CLEAR
Chicago,IL,Automated License Plate Readers,Vigilant Solutions
Akron,OH,Automated License Plate Readers,Flock Safety
Dayton,OH,Automated License Plate Readers,Flock Safety
Summit,NJ,Body-worn Cameras,Axon
Pepper Pike,OH,Body-worn Cameras,Axon
Fort Worth,TX,Body-worn Cameras,Axon
College Station,TX,Body-worn Cameras,Axon
Lakeway,TX,Body-worn Cameras,Axon
Ithaca,NY,Body-worn Cameras,Taser
Medford,OR,Body-worn Cameras,Axon
Gainesville,TX,Body-worn Cameras,WatchGuard
Fayetteville,AR,Body-worn Cameras,Axon
San Jose,CA,Body-worn Cameras,Axon
Riverside,CA,Body-worn Cameras,WatchGuard
San Francisco,CA,Body-worn Cameras,Axon
Fort Collins,CO,Body-worn Cameras,Axon
Boulder,CO,Body-worn Cameras,Axon
New Britain,CT,Body-worn Cameras,WatchGuard
Barnsville,GA,Body-worn Cameras,Axon
Atlanta,GA,Body-worn Cameras,Axon
Fort Valley,GA,Body-worn Cameras,Wolfcom
Groton,CT,Body-worn Cameras,Axon
Iowa City,IA,Body-worn Cameras,Vievu
Montclair,NJ,Body-worn Cameras,Axon Body-2
Oswego,NY,Body-worn Cameras,Safety Vision
Stony Brook,NY,Body-worn Cameras,Axon
Kent,WA,Body-worn Cameras,Axon
Fremont,CA,Video Analytics,BriefCam
Ontario,CA,Video Analytics,BriefCam
Houston,TX,Video Analytics,BriefCam
Los Angeles,CA,Video Analytics,BriefCam
Knoxville,TN,Body-worn Cameras,Axon
Austin,TX,Body-worn Cameras,Axon
Houston,TX,Body-worn Cameras,WOLFCOM
Hanahan,SC,Automated License Plate Readers,NDI
Lexington,SC,Automated License Plate Readers,Flock Safety
Folly Beach,SC,Automated License Plate Readers,Flock Safety
Beaufort,SC,Automated License Plate Readers,NDI
Orangeburg,SC,Automated License Plate Readers,NDI
Indian Creek Village,FL,Automated License Plate Readers,Vigilant Solutions
Midlothian,TX,Automated License Plate Readers,Vigilant Solutions
Hogansville,GA,Automated License Plate Readers,Vigilant Solutions
Denver,CO,Automated License Plate Readers,Vigilant Solutions
Covington,GA,Automated License Plate Readers,Vigilant Solutions
Foley,AL,Automated License Plate Readers,Vigilant Solutions
Acworth,GA,Automated License Plate Readers,Vigilant Solutions
Douglasville,GA,Automated License Plate Readers,Vigilant Solutions
Pittsburgh,PA,Automated License Plate Readers,OpenALPR
Binghamton,NY,Automated License Plate Readers,Genetec
Urbana,IL,Automated License Plate Readers,Genetec
Storrs,CT,Automated License Plate Readers,NuPark
Hampton,VA,Gunshot Detection,ShotSpotter
Rockford,IL,Automated License Plate Readers,Flock Safety
Addison,IL,Automated License Plate Readers,Vigilant Solutions
Lansing,IL,Automated License Plate Readers,Vigilant Solutions
Mount Prospect,IL,Automated License Plate Readers,Vigilant Solutions
Orland Park,IL,Automated License Plate Readers,Vigilant Solutions
Lemont,IL,Automated License Plate Readers,Vigilant Solutions
Cleveland,GA,Gunshot Detection,AmberBox
South Holland,IL,Automated License Plate Readers,Vigilant Solutions
Mansfield,CT,Gunshot Detection,Verbi
Barrington Hills,IL,Automated License Plate Readers,Flock Safety
Carrollton,GA,Gunshot Detection,ShotSpotter
Frankfort,IL,Automated License Plate Readers,Flock Safety
Allendale,MI,Face Recognition,Avigilon
Glendale,AZ,Predictive Policing,Shotspotter
Allendale,MI,Video Analytics,Avigilon
Mesa,AZ,Predictive Policing,Geolitica
Kirksville,MO,Body-worn Cameras,Axon
Gardena,CA,Body-worn Cameras,Axon
Ontario,CA,Body-worn Cameras,Axon
Asheville,NC,Body-worn Cameras,Axon
Milpitas,CA,Body-worn Cameras,Axon
West Palm Beach,FL,Body-worn Cameras,Axon
Fairburn,GA,Automated License Plate Readers,Flock Safety
Cleveland,OH,Body-worn Cameras,Axon
Colton,CA,Body-worn Cameras,Axon
Manassas,VA,Body-worn Cameras,Axon
Prescott,AZ,Body-worn Cameras,Axon
Germantown,TN,Automated License Plate Readers,Flock Safety
Buda,TX,Body-worn Cameras,Axon
Richmond,VA,Automated License Plate Readers,Flock Safety
Richmond,VA,Body-worn Cameras,Axon
Whitewater,WI,Body-worn Cameras,Axon
Bristol,CT,Body-worn Cameras,Axon
Trussville,AL,Automated License Plate Readers,Flock Safety
Steele,AL,Automated License Plate Readers,Flock Safety
Northport,AL,Automated License Plate Readers,Flock Safety
Pinson,AL,Automated License Plate Readers,Flock Safety
Clay,AL,Automated License Plate Readers,Flock Safety
Birmingham,AL,Automated License Plate Readers,Flock Safety
Alabaster,AL,Automated License Plate Readers,Flock Safety
Springville,AL,Automated License Plate Readers,Flock Safety
Birmingham,AL,Automated License Plate Readers,Flock Safety
Moody,AL,Automated License Plate Readers,Flock Safety
Lake Forest,CA,Automated License Plate Readers,Flock Safety
Brawley,CA,Automated License Plate Readers,Flock Safety
Barstow,CA,Automated License Plate Readers,Flock Safety
Bow Mar,CO,Automated License Plate Readers,Flock Safety
Sandy Springs,GA,Automated License Plate Readers,"Flock Safety, Genetec"
Hapeville,GA,Automated License Plate Readers,Flock Safety
Savannah,GA,Automated License Plate Readers,Flock Safety
Carrollton,GA,Automated License Plate Readers,Flock Safety
